receipt,date,time,details,direction,amount,balance,category,is_gambling,is_loan_app
UA000028T5,2026-03-01,08:09:44,"Merchant Payment to 562431 - JUJA BUTCHERY",out,1340,1780.55,till,false,false
UB00002EX4,2026-03-01,08:29:50,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1221,3001.55,business_in,false,false
UC00002L13,2026-03-01,14:00:41,"Merchant Customer Payment from 2547******377 MERCY ACHIENG",in,1385,4386.55,business_in,false,false
UD00002R52,2026-03-01,16:18:18,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1588,5974.55,business_in,false,false
UE00002X91,2026-03-01,20:20:25,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,967,6941.55,business_in,false,false
UF000033D0,2026-03-02,09:25:31,"Merchant Customer Payment from 2547******418 PETER OTIENO",in,792,7733.55,business_in,false,false
UG000039GZ,2026-03-02,14:42:39,"Merchant Customer Payment from 2547******902 GRACE WANJIRU",in,863,8596.55,business_in,false,false
UH00003FKY,2026-03-02,18:27:01,"Merchant Payment Online to 887444 - RUBIS ENERGY JUJA",out,445,8151.55,till,false,false
UJ00003LOX,2026-03-03,11:15:58,"Pay Bill to 290290 - BETIKA Acc. 07******",out,661,7490.55,gambling,true,false
UK00003RSW,2026-03-03,11:33:46,"Merchant Customer Payment from 2547******640 BRIAN KIPROTICH",in,1147,8637.55,business_in,false,false
UL00003XWV,2026-03-03,15:03:17,"Pay Bill to 522533 - SUNRISE APARTMENTS Acc. RENT",out,9500,4137.55,paybill,false,false
UM0000440U,2026-03-03,16:36:10,"Airtime Purchase",out,99,4038.55,airtime,false,false
UN00004A4T,2026-03-03,17:26:51,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1008,5046.55,business_in,false,false
UP00004G8S,2026-03-03,21:03:52,"Merchant Customer Payment from 2547******155 JOHN KAMAU",in,1318,6364.55,business_in,false,false
UQ00004MCR,2026-03-04,13:25:30,"Pay Bill to 290290 - BETIKA Acc. 07******",out,191,6173.55,gambling,true,false
