account_number,product_type_id,product_type,status,date_opened,original_amount,current_balance,overdue_balance,days_in_arrears,days_in_arrears_as_of,highest_days_in_arrears,last_payment_amount,last_payment_date,delinquency_code,is_live,is_adverse
25479900012320210203,7,Overdraft,Closed,2021-02-03,436,0,0,0,2021-02-10,0,0,,003,false,false
25479900012320210301,7,Overdraft,Closed,2021-03-01,483,0,0,0,2022-02-10,0,0,,003,false,false
25479900012320210405,7,Overdraft,Closed,2021-04-05,321,0,0,0,2022-02-10,0,0,,003,false,false
25479900012320210601,7,Overdraft,Closed,2021-06-01,382,0,0,0,2022-02-10,0,0,,003,false,false
25479900012320211001,7,Overdraft,Closed,2021-10-01,488.39,0,0,0,2022-02-10,0,0,,003,false,false
25479900012320211130,7,Overdraft,Closed,2021-11-30,994.72,0,0,0,2022-02-10,0,0,,003,false,false
25479900012320211213,7,Overdraft,Closed,2021-12-13,1684.11,0,0,0,2022-03-08,0,0,,003,false,false
NBF4760949540391283,18,Mobile Banking Loan,Write-Off,2022-04-08,8300,9183.68,9183.68,1577,2026-08-31,1577,35,2022-05-08,004,true,true
25479900012320220730,7,Overdraft,Closed,2022-07-30,140.63,0,0,0,2022-08-08,0,0,,003,false,false
25479900012320230615,7,Overdraft,Closed,2023-06-15,5985.76,0,0,0,2023-07-06,0,0,,003,false,false
25479900012320230808,7,Overdraft,Closed,2023-08-08,4505.71,0,0,0,2023-09-12,0,4505.71,2023-09-11,003,false,false
25479900012320230908,7,Overdraft,Closed,2023-09-08,5109.38,0,0,0,2023-10-23,0,5109.38,2023-10-22,003,false,false
25479900012320231023,7,Overdraft,Closed,2023-10-23,5985.42,0,0,0,2023-11-10,0,0,,003,false,false
25479900012320231220,7,Overdraft,Closed,2023-12-20,6522.52,0,0,0,2024-04-18,0,6522.52,2023-12-20,003,false,false
25479900012320240117,7,Overdraft,Closed,2024-01-17,5800.04,0,0,0,2024-04-18,0,5800.04,2024-02-16,003,false,false
25479900012320240212,7,Overdraft,Closed,2024-02-12,6543.13,0,0,0,2024-04-18,0,6543.13,2024-03-13,003,false,false
